tool,principle,resource,domain,modality,type,provider,code_snippet_path,ai_operation,inputs,outputs,question
fairlearn,fairness,https://fairlearn.org/main/quickstart.html,,tabular,,microsoft,,,,,
holisticai,fairness,https://holisticai.readthedocs.io/en/latest/getting_started/quickstart.html,,tabular,,holisticai,,,,,
witwidget,"explainability, fairness",https://pair-code.github.io/what-if-tool/,,tabular,,google,,,,,
giskard,all,https://docs.giskard.ai/en/latest/getting_started/quickstart/index.html,,"tabular, nlp, llm, vision",,giscard,,,,,
aif360,fairness,https://github.com/Trusted-AI/AIF360/tree/main,,tabular,,IBM,,,,,
model-card-toolkit,transparency,https://github.com/tensorflow/model-card-toolkit,,all,,google,,,,,
interpret,explainability,https://interpret.ml/docs/,,all,,microsoft,,,,,
aix360,explainability,https://github.com/Trusted-AI/AIX360,,all,,IBM,,,,,
lime,explainability,https://github.com/marcotcr/lime,,all,,lime,,,,,
adversarial-robustness-toolbox,robustness,https://github.com/Trusted-AI/adversarial-robustness-toolbox?tab=readme-ov-file,,all,,IBM,,,,,
aequitas,fairness,https://github.com/dssg/aequitas,,all,,aequitas,,,,,
evidently,"baseline, robustness",https://github.com/evidentlyai/evidently,,"tabular, text, embeddings",,evidently.ai,code_snippets/evidently.py,data_validation,,,Can you generate a report about the level of data drift for the given reference and target data?
alibi-detect,robustness,https://github.com/SeldonIO/alibi-detect,,all,,SeldonIO,,,,,
